0	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
1	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
2	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
3	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
4	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
5	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
6	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
7	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
8	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
9	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
10	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
11	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
12	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
13	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
14	1 2 5 6 7 8 9 10 17 18 19 20 21
15	1
16	1
17	1 9
18	1 4
19	1
20	1
21	1
22	2 6
23	2 3 6 13
24	2 3
25	2 3
26	2 3 5 7 11 16 17
27	2 3 5 6 7 11 13 16 17
28	2 3
29	2 3 19 20
30	2
31	3 13
32	3
33	3
34	4
35	4
36	4 9
37	4 12 14 15 16
38	4 12 15
39	5 7
40	5
41	5
42	5
43	5
44	5
45	5
46	5 11
47	6 13
48	6 13
49	6 13
50	6
51	6
52	6 13
53	7 16
54	7 10 15 16 19 20
55	7
56	7
57	7
58	7
59	7
60	7
61	7
62	8
63	8
64	8
65	8
66	8
67	8
68	9
69	9
70	9
71	9
72	9
73	9
74	9
75	9
76	10
77	10
78	10 15
79	10 15
80	10
81	10 15
82	10
83	10
84	10
85	11 16
86	11
87	11
88	11
89	11
90	11
91	11
92	11 13
93	12
94	12
95	12
96	12
97	12
98	13
99	13
100	13
101	13
102	14
103	14
104	14
105	14
106	14
107	14
108	14
109	15
110	15
111	15
112	15
113	15
114	16
115	16
116	16
117	16
118	16
119	16
120	16
121	17 19 20
122	17
123	17
124	17
125	17
126	17
127	17
128	17
129	18
130	18
131	18
132	18
133	18
134	18
135	18
136	18
137	18
138	18
139	18
140	19 20
141	19
142	19 20
143	19 20
144	19
145	19
146	19
147	20
148	20
149	20
150	20
151	20
152	21
153	21
154	21
155	21
156	21
157	21
